"longitude","latitude","Annual_Mean_Temperature","Annual_Precipitation","percent_tree_cover","terrestrial_realms","species_richness","mean_lightness_males","mean_lightness_females"
-4940465.84376785,-6309684.91914874,-4.1,1184,17,"Neotropical",32,138.618765040312,146.28094560125
-4827965.84376785,-6309684.91914874,1.4,576,31,"Neotropical",24,138.547797837083,148.5416882725
-5277965.84376785,-6197184.91914874,3.5,3088,36,"Neotropical",23,137.67288726913,145.980202897391
-5165465.84376785,-6197184.91914874,3.3,922,46,"Neotropical",29,139.192713913448,147.907729242759
-5390465.84376785,-6084684.91914874,4.9,2010,30,"Neotropical",27,133.584982161852,145.91629354963
-5277965.84376785,-6084684.91914874,5.8,670,20,"Neotropical",35,142.009335442571,149.677780949714
-5165465.84376785,-6084684.91914874,5.8,219,29,"Neotropical",25,145.0053436984,155.28682074
-5615465.84376785,-5972184.91914874,7.4,2025,4,"Neotropical",23,134.243059571304,142.461388081304
-5502965.84376785,-5972184.91914874,6.8,1594,3,"Neotropical",28,134.529924598929,146.435585976429
-5390465.84376785,-5972184.91914874,4.7,514,5,"Neotropical",38,138.699515591316,149.073439569474
-5277965.84376785,-5972184.91914874,7.1,174,24,"Neotropical",28,145.768120366429,155.012134917857
-5615465.84376785,-5859684.91914874,5.5,1544,0,"Neotropical",27,136.907227705185,145.281998624815
-5502965.84376785,-5859684.91914874,6.2,192,9,"Neotropical",38,140.841750486053,150.614563348421
-5390465.84376785,-5859684.91914874,5.7,98,5,"Neotropical",30,147.768197525333,156.59507654
-5277965.84376785,-5859684.91914874,7.4,178,5,"Neotropical",26,145.357665236923,154.425018519231
-5727965.84376785,-5747184.91914874,3.7,2604,13,"Neotropical",25,135.1198755496,143.0980236988
-5615465.84376785,-5747184.91914874,4.6,357,5,"Neotropical",36,138.322423867222,147.645040118611
-5502965.84376785,-5747184.91914874,4.7,113,5,"Neotropical",34,139.511294113824,150.188912851176
-5390465.84376785,-5747184.91914874,9.2,161,19,"Neotropical",28,145.760965605714,154.5940873
-5277965.84376785,-5747184.91914874,9.1,226,5,"Neotropical",25,143.9389659224,152.150834072
-5840465.84376785,-5634684.91914874,6.2,2136,26,"Neotropical",24,135.109967585,143.111371907083
-5615465.84376785,-5634684.91914874,1.4,229,5,"Neotropical",38,138.371809937368,148.231216372895
-5502965.84376785,-5634684.91914874,6.3,167,5,"Neotropical",31,145.808222218065,154.531026280645
-5390465.84376785,-5634684.91914874,7,188,5,"Neotropical",26,144.752227917692,152.927222219231
