TipLabel,male_seasonal_colour,female_seasonal_colour,mating_system,paternal_care,sexual_dichromatism,log_mass,percent_ground_forage,percent_tree_cover,precipitation_seasonality,temperature_seasonality,migration,research_effort
Acanthisitta_chloris,0,0,0,1,26.22888985,0.841984805,20,63,0.137977555,0.005130911,0,2
Xenicus_gilviventris,0,0,0,1,42.98770199,1.247973266,50,63,0.11753336,0.005649129,0,1
Acanthiza_apicalis,0,0,0,1,18.17796086,0.875061263,40,5,0.36977607,0.008882808,0,1
Acanthiza_chrysorrhoa,0,0,0,1,15.19159108,0.961947624,80,5,0.347767368,0.008583835,0,2
Acanthiza_ewingii,0,0,0,1,12.95209419,0.838849091,0,77,0.169332653,0.004186565,0,1
Acanthiza_inornata,0,0,0,1,20.71030034,0.84509804,20,5,0.397625238,0.006977003,0,1
Acanthiza_iredalei,0,0,0,1,16.07342019,0.781755375,50,5,0.299613133,0.006850739,0,1
Acanthiza_katherina,0,0,0,1,12.86395133,0.857332496,0,30,0.651236534,0.004059457,0,1
Acanthiza_lineata,0,0,0,1,19.87356825,0.836748074,0,28,0.272760659,0.006880101,0,2
Acanthiza_murina,0,0,0,1,14.53357577,0.924279286,0,63.5,0.146588653,0.000554368,0,0
Acanthiza_nana,0,0,0,1,10.36621974,0.792391689,0,16,0.312298328,0.007551459,0,1
Acanthiza_pusilla,0,0,0,1,14.44078668,0.886490725,40,32,0.276850253,0.006462246,0,2
Acanthiza_reguloides,0,0,0,1,11.25501531,0.886490725,30,17,0.314124033,0.007402309,0,2
Acanthiza_robustirostris,0,0,0,1,10.64007712,0.785329835,20,5,0.429018795,0.009452376,0,1
Acanthiza_uropygialis,0,0,0,1,10.12144252,0.806179974,20,5,0.357794017,0.009127855,0,1
Acanthornis_magna,0,0,0,1,15.04793572,1.008600172,40,78,0.177527234,0.004196676,0,0
Aphelocephala_leucopsis,0,0,0,1,8.413120528,1.098456818,80,5,0.337616041,0.009231845,0,1
Aphelocephala_nigricincta,0,0,0,1,19.12868114,1.017033339,80,5,0.429943368,0.009575472,0,0
Aphelocephala_pectoralis,0,0,0,1,16.1035399,0.954242509,100,2,0.32469295,0.010046517,0,1
Calamanthus_campestris,0,0,0,1,14.14443149,1.14160653,80,5,0.328123719,0.008252081,0,1
Calamanthus_fuliginosus,0,0,0,1,28.2100539,1.319453772,50,62.5,0.17888841,0.005165556,0,1
Chthonicola_sagittatus,0,0,0,1,38.0635564,1.123851641,80,28,0.299262583,0.007035222,0,1
Crateroscelis_murina,0,0,NA,1,38.73801358,1.176091259,60,76,0.156484202,0.000640141,0,0
Crateroscelis_nigrorufa,0,0,NA,1,11.95075631,1.197280558,50,70,0.153637171,0.000567115,0,1
Crateroscelis_robusta,0,0,NA,1,14.40008156,1.269512944,50,75,0.15948227,0.000531888,0,1
Gerygone_albofrontata,0,0,0,1,28.60555563,1.012837225,0,0,0.144879431,0.003453264,0,1
Gerygone_chloronota,0,0,0,1,11.16052509,0.819543936,0,62.5,0.201695234,0.000808643,0,0
Gerygone_chrysogaster,0,0,0,1,19.03341037,0.903089987,0,76,0.172832571,0.00078153,0,0
Gerygone_cinerea,0,0,NA,1,9.221598801,0.880813592,0,65,0.148747936,0.000564814,0,0
Gerygone_dorsalis,0,0,NA,1,8.078407169,0.857332496,0,0,0.471866593,0.001020106,0,0
Gerygone_flavolateralis,0,0,NA,1,16.46410636,0.799340549,0,1,0.270256862,0.003111037,0,1
Gerygone_fusca,0,0,0,1,15.73491721,0.73239376,10,6,0.462501526,0.008149198,1,1
Gerygone_hypoxantha,0,0,NA,1,14.41396998,0.857332496,0,0,0.133720651,0.000342347,0,NA
Gerygone_igata,0,0,0,1,11.10728442,0.806179974,0,48,0.140350819,0.005120722,0,2
Gerygone_inornata,0,0,NA,1,7.77183471,0.857332496,0,33,0.552155107,0.001298447,0,0
Gerygone_levigaster,0,0,0,1,9.870980862,0.792391689,10,26,0.431119114,0.003216972,0,1
Gerygone_magnirostris,0,0,0,1,12.7234782,0.832508913,50,61,0.241458394,0.001023702,0,1
Gerygone_modesta,0,0,0,1,11.76326828,0.875061263,0,0,0.182952285,0.004426952,0,0
Gerygone_mouki,0,0,0,1,11.96081652,0.716003344,0,43,0.329070836,0.005826925,0,1
Gerygone_olivacea,0,0,0,1,8.184694478,0.821867108,10,23,0.558751881,0.004838045,0,1
Gerygone_palpebrosa,0,0,0,1,107.7680587,0.86923172,0,70,0.170721084,0.000829094,0,1
Gerygone_ruficollis,0,0,NA,1,13.707836,0.84509804,0,72,0.152796045,0.000511944,0,0
Gerygone_sulphurea,0,0,0,1,13.02843983,0.748188027,0,25,0.258868158,0.000679435,0,1
Gerygone_tenebrosa,0,0,0,1,9.799557505,0.886490725,0,5,0.652963221,0.005614519,0,0
Hylacola_cauta,0,0,0,1,36.10932164,1.182793995,50,6.5,0.306827813,0.007810458,0,1
Hylacola_pyrrhopygia,0,0,0,1,21.98956066,1.225309282,50,30,0.240884297,0.007043383,0,1
Mohoua_albicilla,0,0,0,1,11.33128064,1.24674471,20,63.5,0.146748595,0.005024541,0,2
Mohoua_novaeseelandiae,0,0,0,1,10.15997541,1.086359831,0,46,0.116864711,0.005021552,0,1
Mohoua_ochrocephala,0,0,0,1,16.53952544,1.443262987,0,68,0.115576595,0.005083923,0,2
Oreoscopus_gutturalis,0,0,0,1,9.800566303,1.301029996,100,40,0.565138936,0.00369622,0,1
Origma_solitaria,0,0,0,1,19.70402126,1.156851901,80,34,0.225663841,0.006788107,0,1
Pycnoptilus_floccosus,0,0,0,1,14.25263877,1.462397998,100,58,0.212858722,0.006864414,0,1
Pyrrholaemus_brunneus,0,0,0,1,41.45086171,1.096910013,50,5,0.384316519,0.009182203,0,1
Sericornis_arfakianus,0,0,NA,1,9.362972968,0.939519253,0,75,0.146588653,0.000503195,0,0
Sericornis_beccarii,0,0,NA,1,11.23816218,1.081444527,0,73,0.260407194,0.00080797,0,1
Sericornis_citreogularis,0,0,0,1,29.59596155,1.236050801,80,41,0.319263577,0.00610837,0,1
Sericornis_frontalis,0,0,0,1,37.8185072,1.108043828,50,21,0.296923757,0.00663384,0,3
Sericornis_humilis,0,0,0,1,26.73007456,1.26245109,40,74.5,0.169202656,0.004196676,0,0
Sericornis_keri,0,0,0,1,11.86706587,1.056904851,70,76,0.509641171,0.003992559,0,1
Sericornis_magnirostra,0,0,0,1,3.946365248,0.991226076,0,49,0.31053865,0.005644022,0,0
Sericornis_nouhuysi,0,0,NA,1,14.52195116,1.23299611,0,67.5,0.15423777,0.000535164,0,1
Sericornis_papuensis,0,0,NA,1,20.82903904,1.049218023,0,73,0.146048248,0.000527384,0,1
Sericornis_perspicillatus,0,0,0,1,6.860365216,0.954242509,0,65,0.147685841,0.000508851,0,1
Sericornis_rufescens,0,0,NA,1,18.61020859,1.079181246,0,79.5,0.172194302,0.000487123,0,0
Sericornis_spilodera,0,0,NA,1,20.51415422,1.068185862,0,77,0.151664369,0.000571157,0,1
Sericornis_virgatus,0,0,NA,1,15.87903983,1.093421685,0,77.5,0.133632064,0.00042059,0,0
Smicrornis_brevirostris,0,0,0,1,7.835555528,0.72427587,10,5,0.413689971,0.007956479,0,1
Aegithalos_caudatus,0,0,0,1,9.295382188,0.934498451,10,5,0.543122232,0.015191567,0,3
Aegithalos_concinnus,0,0,0,1,10.32430598,0.785329835,0,22,0.462403387,0.010743184,0,2
Aegithalos_fuliginosus,0,0,NA,1,21.67606033,0.77815125,0,25,0.543557644,0.012914591,0,1
Aegithalos_iouschistos,0,0,0,1,25.57555993,0.84509804,0,5,0.532000124,0.009766421,0,1
Aegithalos_leucogenys,0,0,0,1,15.31586059,0.829303773,0,5,0.517950624,0.014204847,1,1
Aegithalos_niveogularis,0,0,0,1,15.7402843,0.892094603,0,5,0.412442654,0.012199382,0,1
Leptopoecile_elegans,0,0,NA,1,119.8214214,0.795880017,0,12,0.56423077,0.011674587,0,0
Leptopoecile_sophiae,0,0,0,1,62.18575095,0.838849091,0,5,0.464032352,0.013936386,1,2
Psaltria_exilis,0,0,0,1,16.8572738,0.763427994,0,8,0.346683055,0.00055166,0,0
Psaltriparus_minimus,0,0,0,1,26.35693363,0.72427587,0,9,0.384556144,0.011413654,0,2
Aegithina_lafresnayei,0,0,NA,1,28.63177394,1.07773118,0,31,0.627787709,0.002285475,0,1
Aegithina_nigrolutea,1,0,0,1,95.10533913,1.079181246,0,10,0.764727533,0.007485949,0,1
Aegithina_tiphia,1,0,0,1,85.05039587,1.079181246,0,21.5,0.6538665,0.003642532,0,1
Aegithina_viridissima,0,0,0,1,56.50963563,1.127104798,0,61,0.16987966,0.000556039,0,1
Alaemon_alaudipes,0,0,0,1,20.96122059,1.641969598,100,0,0.368197799,0.010622216,0,2
Alaemon_hamertoni,0,0,0,1,37.5826658,1.544068044,100,0,0.512688994,0.002182845,0,0
Alauda_arvensis,0,0,0,1,35.81088159,1.585945515,100,10,0.255203694,0.019682324,1,3
Alauda_gulgula,0,0,0,1,23.45937929,1.419955748,100,8,0.563518405,0.00980239,1,2
Alauda_japonica,0,0,NA,NA,NA,1.50174373,100,NA,NA,NA,NA,1
Alauda_razae,0,0,0,1,25.50186917,1.342422681,100,2.5,0.670580089,NA,0,1
Ammomanes_cinctura,0,0,0,1,13.34469986,1.273001272,100,0,0.312836289,0.011179507,0,1
Ammomanes_deserti,0,0,0,1,26.19364147,1.376576957,100,0,0.380540937,0.01033613,0,2
Ammomanes_grayi,0,0,0,1,8.636022892,1.331427297,100,0,0.485650122,0.003371953,0,0
Ammomanes_phoenicura,0,0,0,1,25.61122924,1.408239965,100,11,0.75364387,0.005898238,0,0
Calandrella_acutirostris,0,0,0,1,19.52595265,1.306425028,100,5,0.511188328,0.013760307,1,1
Calandrella_brachydactyla,0,0,0,1,31.36688064,1.316668432,100,5,0.388546288,0.015405583,1,3
Calandrella_cheleensis,0,0,NA,NA,NA,1.346352974,100,NA,NA,NA,NA,1
Calandrella_cinerea,0,0,0,1,17.83473178,1.374748346,100,23,0.725125313,0.003615902,0,3
Calandrella_raytal,0,0,0,1,13.61658563,1.267171728,100,7,0.603287578,0.008514585,0,1
Calandrella_rufescens,0,0,0,1,21.12100225,1.382017043,100,5,0.469689041,0.015783407,1,3
Calandrella_somalica,0,0,0,1,34.39821262,1.342422681,100,7,0.477862328,0.00182425,0,1
Certhilauda_albescens,0,0,0,1,19.03904593,1.482873584,70,5,0.291626677,0.006546936,0,1
Certhilauda_barlowi,0,0,0,1,27.77555945,1.47348697,100,0,0.271753758,0.005034473,0,1
Certhilauda_burra,0,0,0,1,22.86080185,1.574031268,80,5,0.421785057,0.009103794,0,1
Certhilauda_chuana,0,0,0,1,28.1087934,1.644438589,100,5,0.647019953,0.007093667,0,1
Certhilauda_curvirostris,0,0,0,1,31.29544001,1.622214023,80,5,0.353803158,0.005611781,0,1
Certhilauda_erythrochlamys,0,0,0,1,9.158408064,1.44870632,100,0,0.455890656,0.004041589,0,1
Certhilauda_semitorquata,0,0,0,1,18.65537767,1.591064607,80,6,0.547403395,0.006716626,0,1
Certhilauda_subcoronata,0,0,0,1,37.80081508,1.602059991,80,5,0.514549375,0.008049507,0,1
Chersomanes_albofasciata,0,0,0,1,17.93223183,1.392696953,100,5,0.61156708,0.006957522,0,1
Chersophilus_duponti,0,0,0,1,19.6898378,1.595496222,100,2,0.339363277,0.010629954,0,3
Eremalauda_dunni,0,0,0,1,23.79605557,1.311753861,80,0,0.714110255,0.006034013,0,2
Eremalauda_starki,0,0,0,1,14.12289952,1.267171728,100,5,0.598875761,0.00714277,0,1
Eremophila_alpestris,0,0,0,1,42.47690085,1.52758866,100,5,0.305289239,0.016174522,1,3
Eremophila_bilopha,0,0,0,1,34.36901955,1.58546073,100,0,0.303385869,0.011299377,0,1
Eremopterix_australis,0,0,0,1,210.6868073,1.152288344,80,5,0.421785057,0.008232183,0,1
Eremopterix_griseus,0,0,0,1,184.2943173,1.204119983,100,9,0.728112429,0.00619469,1,0
Eremopterix_leucopareia,0,0,0,1,116.6310138,1.161368002,100,24,0.574985027,0.001838773,0,1
Eremopterix_leucotis,0,0,0,1,203.4242475,1.214843848,100,12,0.81977427,0.003350124,0,1
Eremopterix_nigriceps,0,0,0,1,218.5322186,1.146128036,100,0,0.510601342,0.006794338,0,2
Eremopterix_signatus,0,0,0,1,169.0498602,1.195899652,100,5,0.520085752,0.001671005,0,0
Eremopterix_verticalis,0,0,0,1,228.3506524,1.230448921,100,5,0.700765967,0.006352711,1,1
Galerida_cristata,0,0,0,1,22.38346732,1.621084842,100,5,0.429373741,0.012020489,0,3
Galerida_deva,0,0,0,1,11.75768713,1.301029996,100,12,0.760737538,0.005462341,0,1
Galerida_magnirostris,0,0,0,1,28.72617829,1.619093331,100,5,0.381471559,0.007823404,0,1
Galerida_malabarica,0,0,0,1,15.08276661,1.556302501,100,22,0.950338781,0.001949042,0,1
Galerida_modesta,0,0,0,1,22.47983851,1.305351369,100,17,0.886980891,0.002790487,0,1
Galerida_theklae,0,0,0,1,27.9912164,1.582063363,100,5,0.406111538,0.008662489,0,2
Heteromirafra_archeri,0,0,0,1,19.81653233,1.397940009,100,0,0.473309547,0.003573841,0,1
Heteromirafra_ruddi,0,0,0,1,19.58914114,1.424881637,40,9.5,0.527104199,0.0060026,0,1
Heteromirafra_sidamoensis,0,0,NA,1,30.83792839,1.480006943,100,9,0.535850346,0.001567912,0,1
Lullula_arborea,0,0,0,1,28.93486879,1.42975228,100,9,0.196866453,0.012902717,1,3
Melanocorypha_bimaculata,0,0,0,1,23.91022364,1.733197265,100,5,0.409241512,0.015914334,1,2
Melanocorypha_calandra,0,0,0,1,13.76619676,1.789580712,100,5,0.385659724,0.014520047,1,3
Melanocorypha_leucoptera,0,0,0,1,39.88444217,1.656098202,100,5,0.211010128,0.0212879,1,2
Melanocorypha_maxima,0,0,0,1,17.56776064,1.875061263,100,5,0.549743652,0.012232432,0,1
Melanocorypha_mongolica,0,0,0,1,40.39832269,1.733999287,100,5,0.500487,0.021300282,1,2
Melanocorypha_yeltoniensis,0,0,0,1,243.9219071,1.778513012,100,5,0.202404872,0.02141013,1,2
Mirafra_affinis,0,0,NA,1,19.73061925,1.418301291,100,12,0.68025437,0.003732009,0,1
Mirafra_africana,0,0,0,1,36.15734447,1.637708823,80,21,0.747591645,0.003136782,0,1
Mirafra_africanoides,0,0,0,1,19.87848977,1.369215857,100,12,0.756762356,0.005043088,0,1
Mirafra_albicauda,0,0,0,1,29.67917942,1.346352974,60,16,0.458627,0.001883328,0,1
Mirafra_alopex,0,0,NA,1,21.99795211,1.380211242,100,6,0.501888752,0.001801569,0,0
Mirafra_angolensis,0,0,0,1,25.35182901,1.559906625,100,49,0.93741399,0.001433379,0,1
Mirafra_apiata,0,0,0,1,10.43271569,1.43055877,100,5,0.32515794,0.00730594,0,1
