grid,type,estimate,se
384,intercept,-2.0085541988911917,0.4281442523359684
385,intercept,-2.0059344739943423,0.4090595865210129
526,intercept,-1.8718449338796157,0.13686560005480866
527,intercept,-2.228996876751438,0.13702363673029885
528,intercept,-1.446773189007714,0.22450723925430044
529,intercept,-1.6435494643869482,0.21898206738124054
533,intercept,-1.7795064653851491,0.4014928959178662
574,intercept,-1.230166707520575,0.26961955090486944
598,intercept,-1.5446388226694547,0.12951345246304474
599,intercept,-1.7442948333212698,0.14253728788037565
646,intercept,-1.1873609509555445,0.19384055238697
647,intercept,-1.1106002091409248,0.20057777038075678
649,intercept,-1.0092515377812763,0.2306557724147054
670,intercept,-2.344952654795834,0.11001424931101417
671,intercept,-1.9349112783693194,0.10954626881071394
672,intercept,-1.925185491867074,0.11472328229718909
713,intercept,-1.218366529782438,0.1633662192151852
714,intercept,-1.6187423524370739,0.13234843698197693
718,intercept,-0.9808031090772463,0.2046012675066102
719,intercept,-1.362352873994034,0.18526311035401244
720,intercept,-1.104117667381725,0.20668685406812579
742,intercept,-2.052075451946383,0.10509836934099957
743,intercept,-1.6706530022558665,0.10019214100234691
744,intercept,-1.6379763722897258,0.10126950061556303
745,intercept,-2.06549177362838,0.09636604008018472
780,intercept,-1.4920309816110986,0.1649415843460344
784,intercept,-1.8061671161000574,0.10482122212258588
785,intercept,-2.0459433007317327,0.08971472867240578
786,intercept,-2.2122325262814106,0.09228591041074605
787,intercept,-1.9181085840057601,0.10832356988454833
791,intercept,-1.224081439366289,0.19542346705161595
792,intercept,-0.947276398527266,0.18820625267561564
814,intercept,-1.8215973983356712,0.12293442770188244
815,intercept,-1.7228794456733563,0.08379909970268822
816,intercept,-1.8157785628681156,0.07886295127763548
817,intercept,-2.2121628951082677,0.08475732417700942
818,intercept,-1.9655671998589932,0.08417004574213235
832,intercept,-2.0769487513211504,0.09246981722940419
833,intercept,-1.8936302206185474,0.08574458196954102
834,intercept,-1.9916185268772721,0.08521508629763491
852,intercept,-1.8004601115837264,0.11719990770698757
853,intercept,-1.6710576721562773,0.12022917136718778
854,intercept,-1.142487942099904,0.14887706379981266
855,intercept,-1.5331601646515893,0.13945457719577764
856,intercept,-1.7443475830824546,0.09652570235823517
